Congregação,Tipo,Município,Horários,Obs,Endereço,Telefone,Email,Responsável
Filhas do Amor Divino — Colégio Nossa Senhora das Neves,Feminina,Natal,,,"Av. Coronel Estevam, 21 - Alecrim, 59030-000 - Natal/RN",(84) 3215-7112,cnsn@colegiodasneves.com.br,Irmã Ines Alves Saraiva (Superiora)
Filhas do Amor Divino — Mãe Admirável,Feminina,Nova Cruz,,,"Centro Pastoral do Catolé, Rua Luís Adolfo, s/n, 59215-000 - Nova Cruz/RN",(84) 3281-2911 / 99643-6061,mariajosefdc@yahoo.com.br,Irmã Maria José de Souza (Superiora)
Filhas do Amor Divino — Menino Jesus de Praga,Feminina,São Gonçalo do Amarante,,,"Rua Tenente Manuel Cavalcante, 17, 59290-000 - São Gonçalo do Amarante/RN",(84) 3278-3536 / 3278-2234 / 9468-0983,,Ir. Maria Aparecida da Silva (Superiora)
Filhas do Amor Divino — Nossa Senhora das Graças,Feminina,Santa Cruz,,,"Rua Senador João Câmara, 254 - Centro, 59200-000 - Santa Cruz/RN",(84) 3291-2332,irvera01@yahoo.com.br,Ir. Flaviana do Nascimento Rolim (Superiora)
Filhas do Amor Divino — Nossa Senhora do Rosário,Feminina,Parnamirim,,,"BR 101, Km 7,5 - Emaús, 59148-160 - Parnamirim/RN",(84) 3643-1148 / 9607-1562,,Ir. Eva Maria dos Santos (Superiora)
Filhas do Amor Divino — Casa de Encontro Nossa Senhora das Neves,Feminina,Natal,,,"Rua Amaro Mesquita, 137 - Ponta Negra, Natal/RN",(84) 3236-2837,irmafelicia@ig.com.br,"Ir. Felicia de Oliveira Costa, FDC (Coordenadora)"
Franciscanas de N. Sra. Bom Conselho — Fraternidade N. Sra. do Carmo,Feminina,Nova Cruz,,,"Rua Prof. Josépio de Almeida Duarte, 155 - Centro, 59215-000 - Nova Cruz/RN",(84) 3281-2231 / 99982-1617,irgildafbc@hotmail.com,Ir. Gilda Maria da Rocha Farias (Coordenadora)
Franciscanas de N. Sra. Bom Conselho — Fraternidade N. Sra. de Fátima,Feminina,Natal,,,"Av. Rodrigues Alves, 646 - Tirol, 59020-200 - Natal/RN",(84) 3222-2961 / 98761-4921,,
Franciscanas de N. Sra. Bom Conselho — Fraternidade Santa Águeda,Feminina,Ceará-Mirim,,,"Pç. Barão de Ceará-Mirim, 236, 59570-000 - Ceará-Mirim/RN",(84) 3274-2033 / 99903-8017,irmacavalcanti@gmail.com,Irmã Eliedilma Souza de Lima (Coordenadora)
Irmãs Carmelitas Descalças — Carmelo N. Sra. do Sorriso e Sta. Teresinha,Feminina,Parnamirim,,,"Rua Santo Antonio, 800 - Emaús, Parque das Orquídeas, 59149-025 - Parnamirim/RN",(84) 3643-2693 / 99968-4565,carmelo.natalrn@hotmail.com,Irmã Maria de Jesus (Coordenadora)
Irmãs da Divina Providência — Casa das Irmãs da Divina Providência,Feminina,São José de Mipibu,,,"R. Dr. Antônio de Souza, 73, 59162-000 - São José de Mipibu/RN",(84) 3273-2366 / 99948-2592,ivaguedes19@gmail.com,Ir. Iva Guedes de Moura (Coordenadora)
Irmãs da Divina Providência — Comunidade São José,Feminina,São Paulo do Potengi,,,"R. Irmã Selma, 50 - Centro, 59460-000 - São Paulo do Potengi/RN",(84) 3251-2760,,Ir. Isolde (Coordenadora)
Irmãs da Glória — Comunidade Virgem Mãe dos Pobres,Feminina,Macaíba,,,"Av. Arthur Araújo de Souza, 4186 - Mangabeira, 59280-000 - Macaíba/RN",(84) 3631-8004,alziralice@gmail.com,Ir. Alzira Alice (Coordenadora)
Irmãs de Belém — Congregação de Nossa Senhora de Belém,Feminina,Natal,,,"Rua Jundiaí, 554, 59020-120 - Natal/RN",(84) 3222-2098 / 9800-4277,cnsbelemnat@hotmail.com,Ir. Rafaela da Divina Providência (Coordenadora)
Irmãs de Caridade — Casa da Criança,Feminina,Natal,,,"Rua Zacarias Monteiro, 241 - Morro Branco, 59015-290 - Natal/RN",(84) 99444-6466,loz-santos@bol.com.br,Ir. Benedita Lós (Coordenadora)
Irmãs de Caridade — Escola Dom Marcolino Dantas,Feminina,Natal,,,"Rua Jaguarari, 1678 - Alecrim, 59030-500 - Natal/RN",(84) 3213-6889 / 3213-3374,escoladmd_natal@yahoo.com.br,"Ir. Maria Socorro Dias Lima, FC (Coordenadora)"
Irmãs de Caridade — Escola São José,Feminina,Natal,,,"Rua São João de Deus, 03 - Rocas, 59010-690 - Natal/RN",(84) 3222-1548 / 9632-8606,gracaaquino2013@hotmail.com,Ir. Maria das Graças (Coordenadora)
Irmãs de Caridade — Abrigo Juvino Barreto,Feminina,Natal,,,"Av. Almirante Alexandrino de Alencar, 908 - Alecrim, 59030-350 - Natal/RN",(84) 99696-5828,comunidadeirma@hotmail.com,"Ir. Rita Cerqueira, FC (Coordenadora)"
Irmãs de Caridade — Patronato da Medalha Milagrosa,Feminina,Natal,,,"Praça André de Albuquerque, 564 - Cidade Alta, 59025-580 - Natal/RN",(84) 3222-0965 / 99934-3491,ir.fernandalins@hotmail.com,Irmã Fernanda Maria A. Lins (Coordenadora)
Irmãs do Imaculado Coração de Maria,Feminina,Natal,,,"Rua Belo Horizonte, 295 - Rocas, 59010-360 - Natal/RN",(84) 3202-6765,ivonetefelixmorais@hotmail.com,Ir. Ivonete Félix de Morais (Coordenadora)
Irmãs do Sagrado Coração de Jesus — Casa Madre Geralda Soares,Feminina,São José de Mipibu,,,"Rua 15 de Novembro, 655 - Centro, 59162-000 - São José de Mipibu/RN",(84) 3273-3913 / 99911-0366,cidasilvarscj01@gmail.com,Ir. Maria de Lourdes da Silva (Coordenadora)
Irmãs Missionárias Carmelitas — Fraternidade Santa Tereza,Feminina,Natal,,,"Rua Borborema, 1109 - Alecrim, 59040-130 - Natal/RN",(84) 3201-8025,,Ir. Maria das Dores Silva (Coordenadora)
Irmãs Missionárias Carmelitas — Fraternidade Alecrim,Feminina,Natal,,,"Rua Ary Parreira, 251 - Alecrim, Natal/RN",,,Irmã Clara de Freitas (Coordenadora)
Irmãs Missionárias Apóstolas da Palavra,Feminina,São Gonçalo do Amarante,,,"Rua Boanerges Mendes da Silva, 134 - Santo Antônio do Potengi, 59290-000 - São Gonçalo do Amarante/RN",(84) 3278-2493 / 98128-2440,jealejandrina@ig.com.br,Ir. Alejandrina Ponce Ortega (Coordenadora)
Salesianas — Instituto das Filhas de Maria Auxiliadora,Feminina,Natal,,,"Av. Hermes da Fonseca, 603 - Petrópolis, 59020-025 - Natal/RN",(84) 4006-4351,,Irmã Régia Cristina Freitas Gondim (Diretora)
Servas do Coração Imaculado de Maria — Madre Maria do Sagrado Coração,Feminina,Natal,,,"Rua Caruaru, 16 - Cidade da Esperança, 59070-360 - Natal/RN",(84) 2030-7619,,Ir. Maria Aparecida de Aquino (Superiora provincial)
Servas do Coração Imaculado de Maria — Granja Bom Pastor,Feminina,Extremoz,,,Extremoz/RN,98898-1478,,
Irmãs Capuchinhas de N. Sra. da Anunciação — Fraternidade São Francisco,Feminina,Ceará-Mirim,,,"Travessa Sebastião Araújo, 128, 59570-000 - Ceará-Mirim/RN",(84) 98108-5842,madalenapff@hotmail.com,Irmã Maria Madalena dos Santos Lima (Coordenadora)
Missionárias de Santo Antônio Maria Claret,Feminina,Brejinho,,,"Rua José Albano Neto, 13 - Novo Horizonte, 49219-000 - Brejinho/RN",(82) 99922-6797,,Irmã Iracema Rosa (Superiora)
