Horários de Missa — Arquidiocese de Natal,,,,,,,,,,,
Fonte: documento oficial da Arquidiocese de Natal | Matrizes + Capelas + Confissão | Gerado automaticamente,,,,,,,,,,,
,,,,,,,,,,,
Paróquia,Bairro,Município,Vicariato,Zonal,Horários,Obs,Endereço,Telefone,Email,Tag,Confissão
São josé,,Natal,Vicariato Urbano 1,1º Zonal,"Dom, Qua: 19:00",,,,,Pertence a matriz de Paróquia de São Pedro Apóstolo,
Nossa Senhora da Conceição,,Natal,Vicariato Urbano 1,1º Zonal,"Dom: 09:00 | Dom, Ter, Sex, Sáb: 18:30",Todo Dia 18 - 18h30**,,,,Pertence a matriz de Paróquia de São Pedro Apóstolo,
São Francisco de Assis,,Natal,Vicariato Urbano 1,1º Zonal,Dom: 09:00,,,,,Pertence a matriz de Paróquia de São Pedro Apóstolo,
Nossa Senhora Aparecida,,Natal,Vicariato Urbano 1,1º Zonal,Qui: 18:30,,,,,Pertence a matriz de Paróquia de São Pedro Apóstolo,
Paróquia do Bom Jesus das Dores,Ribeira,Natal,Vicariato Urbano 1,1º Zonal,"Seg, Ter, Qua, Qui, Sex, Sáb: 17:00 | Dom: 08:00 | Dom: 11:00 | Dom: 17:00","1º sábado do mês, 8h.","Praça Cap. José da Penha, 135, Ribeira - 59012-080, Natal/RN",(84) 3615-2823 / 99937-2920,,Matriz,Terça a sexta - 15h às 17h
Paróquia de Nossa Senhora Aparecida,Neópolis,Natal,Vicariato Urbano 1,2º Zonal,"Ter, Qua, Qui, Sex: 17:30 | Sáb: 19:00 | Dom: 07:30 | Dom: 11:00 | Dom: 19:00","Dia 20, 19h — missa com oração por cura. Dia 29, 19h — em honra a São Miguel Arcanjo.","Rua Rondônia, 425, Neópolis - 59080-410, Natal/RN",(84) 3615-2831,pnsaparecidanatal@hotmail.com,Matriz,Terça a Sexta - 15h às 17h
São Judas Tadeu,,Natal,Vicariato Urbano 1,2º Zonal,Dom: 09:30 | Dom: 17:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora Aparecida,
Paróquia de Nossa Senhora da Candelária,Candelária,Natal,Vicariato Urbano 1,2º Zonal,"Ter, Qua, Qui, Sex: 17:00 | Sáb: 18:00 | Dom: 08:00 | Dom: 11:00 | Dom: 18:00","Todo dia 2, às 12h.","Rua Marechal Rondon, 1859, Candelária - 59064-730, Natal/RN",(84) 99161-9999,paroquia@paroquiadecandelaria.com.br,Matriz,"Terça, Quarta e Sexta - 15h às 16h"
Mãe Peregrina,,Natal,Vicariato Urbano 1,2º Zonal,"Dom, Sáb: 16:00",,,,,Pertence a matriz de Paróquia de Nossa Senhora da Candelária,
Paróquia de Sant'Ana,Capim Macio,Natal,Vicariato Urbano 1,2º Zonal,"Ter, Qua, Qui: 19:00 | Sex, Sáb: 17:00 | Dom: 10:00 | Dom: 17:00","Todo dia 26, 19h — Missa do ramalhete de Sant'Ana.","Rua Des. José Gomes da Costa, 1927, Capim Macio - 59082-140, Natal/RN",(84) 2020-5323 / 99856-8056,paroquiasantanacmacio@yahoo.com.br,Matriz,
Paróquia de Santa Rita de Cássia dos Impossíveis,Ponta Negra,Natal,Vicariato Urbano 1,2º Zonal,"Seg, Ter, Qua, Qui, Sex: 18:00 | Sáb: 17:00 | Dom: 08:00 | Dom: 11:00 | Dom: 18:00",,"Rua Praia de Itamaracá, 18, Ponta Negra - 59094-510, Natal/RN",(84) 3615-2840 / 98896-4232,,Matriz,Sexta - 15h
Paróquia de Santo Afonso Maria de Ligório,Capim Macio,Natal,Vicariato Urbano 1,2º Zonal,"Seg, Ter, Qua, Qui, Sex: 19:00 | Dom: 08:00 | Dom: 19:00",,"Av. Santos Dumont, s/n, Conj. Mirassol, Capim Macio - 59078-200, Natal/RN",(84) 3615-2855,secretariasantoafonso@gmail.com,Matriz,Quarta - 16h às 17h (Santo Agostinho) / Quinta - 16h às 18h (Santo Afonso)
Santo Agostinho,,Natal,Vicariato Urbano 1,2º Zonal,"Sáb: 09:00 | Dom: 11:00 | Dom, Qua, Sex: 17:00 | Sáb: 19:00",,,,,Pertence a matriz de Paróquia de Santo Afonso Maria de Ligório,
Capela do Câmpus,,Natal,Vicariato Urbano 1,2º Zonal,Dom: 18:30,,,,,Pertence a matriz de Paróquia de Santo Afonso Maria de Ligório,
Paróquia de São Camilo de Léllis,Lagoa Nova,Natal,Vicariato Urbano 1,2º Zonal,"Sáb: 17:00 | Dom: 07:00 | Dom: 11:00 | Dom: 19:00 | Ter, Qua, Qui, Sex: 18:00",,"Rua Pureza, s/n, Lagoa Nova - 59063-170, Natal/RN",(84) 3615-2859,saocamilo.natal@gmail.com,Matriz,
Paróquia de São João Batista,Vila de Ponta Negra,Natal,Vicariato Urbano 1,2º Zonal,"Ter, Qua, Qui, Sex, Sáb: 19:00 | Dom: 07:00 | Dom: 19:00",,"Rua Manoel Coringa de Lemos, 441, Vila de Ponta Negra - 59094-510, Natal/RN",(84) 99156-5000,,Matriz,Quinta - 16h às 18h
São Mateus Moreira,,Natal,Vicariato Urbano 1,2º Zonal,Dom: 17:00 | Sex: 19:00,1ª Sexta do mês,,,,Pertence a matriz de Paróquia de São João Batista,
Praça do alagamar,,Natal,Vicariato Urbano 1,2º Zonal,Dom: 09:30,,,,,Pertence a matriz de Paróquia de São João Batista,
Paróquia do Sagrado Coração de Jesus e Nossa Senhora do Perpétuo Socorro,Lagoa Nova,Natal,Vicariato Urbano 1,2º Zonal,"Ter: 19:00 | Qua: 12:00 | Qui: 19:00 | Sex, Sáb: 17:00 | Dom: 07:00 | Dom: 10:30 | Dom: 17:00 | Dom: 19:00","Terça com novena. Quinta com adoração. 1ª sexta-feira do mês, 17h.","Av. Antônio Basílio, 3840, Lagoa Nova - 59056-500, Natal/RN",(84) 3615-2813 / 99607-0165,,Matriz,Terça e Quinta - 16h às 18h
São Geraldo Majella,,Natal,Vicariato Urbano 1,2º Zonal,Dom: 08:30 | Dom: 18:00,,,,,Pertence a matriz de Paróquia do Sagrado Coração de Jesus e Nossa Senhora do Perpétuo Socorro,
Imaculada Conceição,,Natal,Vicariato Urbano 1,2º Zonal,Dom: 17:00 | Sáb: 18:30,,,,,Pertence a matriz de Paróquia do Sagrado Coração de Jesus e Nossa Senhora do Perpétuo Socorro,
Nossa Senhora das Vitórias,,Natal,Vicariato Urbano 1,2º Zonal,Sáb: 17:00,,,,,Pertence a matriz de Paróquia do Sagrado Coração de Jesus e Nossa Senhora do Perpétuo Socorro,
Setor Nossa Senhora de Fátima,,Natal,Vicariato Urbano 1,2º Zonal,Sáb: 18:30,3º Sábado do mês,,,,Pertence a matriz de Paróquia do Sagrado Coração de Jesus e Nossa Senhora do Perpétuo Socorro,
Setor São José Operário,,Natal,Vicariato Urbano 1,2º Zonal,Sáb: 19:00,4º Sábado do mês,,,,Pertence a matriz de Paróquia do Sagrado Coração de Jesus e Nossa Senhora do Perpétuo Socorro,
Paróquia Nossa Senhora Rainha da Paz,Nova Parnamirim,Parnamirim,Vicariato Urbano 1,3º Zonal,"Dom, Sáb: 08:00 | Dom, Sáb: 17:00 | Ter, Qui, Sex: 19:00","1ª sexta-feira do mês, 19h.","Rua Serra dos Milagres, 01, Nova Parnamirim - 59152-690, Parnamirim/RN",(84) 98809-7016,rainhadapaznovaparnamirim@gmail.com,Matriz,
São João Batista,,Parnamirim,Vicariato Urbano 1,3º Zonal,Seg: 19:00,2ª e 4ª Sexta-feira do mês,,,,Pertence a matriz de Paróquia de Nossa Senhora Rainha da Paz,
Nossa Senhora das Vitórias,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 19:30 | Seg: 19:00,1ª e 3ª Segunda-feira do mês,,,,Pertence a matriz de Paróquia de Nossa Senhora Rainha da Paz,
São Francisco de Assis - Cond. Éden Park,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 09:00,2º Domingo do mês,,,,Pertence a matriz de Paróquia de Nossa Senhora Rainha da Paz,
Paróquia de Nossa Senhora da Conceição,Nova Parnamirim,Parnamirim,Vicariato Urbano 1,3º Zonal,"Seg, Ter, Qua, Qui, Sex: 17:00 | Dom, Sáb: 19:00 | Dom: 07:00",,"Rua Cap. Luís Gonzaga, 216, Conj. Isauro Rosado, Nova Parnamirim - 59151-010, Parnamirim/RN",(84) 3615-2833 / 99132-9119,,Matriz,Quinta - 15h
Paróquia de Santos Reis,Santos Reis,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 07:30 | Dom: 19:00,"Quinta-feira (1ª e 3ª do mês), 19h.","Rua Cabo Serafim Nunes Neto, 183, Santos Reis - 59141-170, Parnamirim/RN",,,Matriz,
Nossa Senhora da Guia,,Parnamirim,Vicariato Urbano 1,3º Zonal,Qua: 19:00,2ª e 4ª Quarta-feira do mês,,,,Pertence a matriz de Paróquia de Santos Reis,
São José,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sex: 19:00,2ª e última Sexta-feira do mês,,,,Pertence a matriz de Paróquia de Santos Reis,
Divino Espírito Santo,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 16:00,,,,,Pertence a matriz de Paróquia de Santos Reis,
Nossa Senhora da Penha,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 16:00,,,,,Pertence a matriz de Paróquia de Santos Reis,
Cristo Rei,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 10:30,,,,,Pertence a matriz de Paróquia de Santos Reis,
Imaculada Conceição,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 19:30,,,,,Pertence a matriz de Paróquia de Santos Reis,
Nossa Senhora Aparecida,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 17:15,,,,,Pertence a matriz de Paróquia de Santos Reis,
Paróquia de Nossa Senhora de Fátima,Cohabinal,Parnamirim,Vicariato Urbano 1,3º Zonal,"Seg, Ter, Qua, Qui, Sex: 18:00 | Dom: 07:00 | Dom, Sáb: 19:00","Dia 13, 12h — missa votiva a Nossa Senhora de Fátima.","Av. Castor Vieira Régis, 268, Cohabinal - 59140-670, Parnamirim/RN",(84) 99434-7122,secretariaparoquialpanfa@gmail.com,Matriz,"Terça, Quarta e Sexta - 15h às 17h30 / Quinta - 19h30"
Paróquia de Nossa Senhora do Carmo,Parque das Nações,Parnamirim,Vicariato Urbano 1,3º Zonal,"Ter, Qua, Qui, Sex: 17:00 | Sáb: 19:30 | Dom: 07:00 | Dom: 09:00 | Dom: 18:00",,"Av. Eliza Branco Pereira dos Santos, 1357, Parque das Nações - 59158-160, Parnamirim/RN",(84) 2020-7663 / 99476-6014,paroquiansdocarmorn@gmail.com,Matriz,Terça a Sexta - 15h às 16h40
São José,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 16:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora do Carmo,
São Miguel Arcanjo,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 16:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora do Carmo,
Sagrada Família,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 18:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora do Carmo,
Paróquia de São Francisco de Assis e São João Lostau Navarro,Pirangi do Norte,Parnamirim,Vicariato Urbano 1,3º Zonal,"Ter, Qua: 19:00 | Dom: 19:30",,"Rua João Batista de Lima, s/n, Pirangi do Norte - 59161-570, Parnamirim/RN",,pasfapazebem@outlook.com,Matriz,
São Sebastião,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 09:00 | Sex: 19:00,,,,,Pertence a matriz de Paróquia de São Francisco de Assis e São João Lostau Navarro,
Santa Luzia,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 07:00 | Qui: 19:00,,,,,Pertence a matriz de Paróquia de São Francisco de Assis e São João Lostau Navarro,
Nossa Senhora da Conceição,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 19:00,,,,,Pertence a matriz de Paróquia de São Francisco de Assis e São João Lostau Navarro,
São Francisco,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 17:30,,,,,Pertence a matriz de Paróquia de São Francisco de Assis e São João Lostau Navarro,
Paróquia do Santo André de Soveral,Emaús,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 07:00 | Dom: 19:00 | Qui: 19:00,"Dia 03, 19h — votiva aos Santos Mártires. Dia 29, 19h — cura/libertação a São Miguel. 1ª sexta-feira, 19h.","Av. Aeroporto de Petrolina, 626, Conj. Jardim Aeroporto, Emaús - 59149-336, Parnamirim/RN",(84) 3643-1355,paroquiadosoveral.financeiro@hotmail.com,Matriz,
Parque Industrial,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 17:30,"1º sábado do mês, 16h.",,,,Pertence a matriz de Paróquia do Santo André de Soveral,
Parque das orquídeas,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 17:30,"1ª Sexta-feira do mês, 17h",,,,Pertence a matriz de Paróquia do Santo André de Soveral,
Paróquia de Nossa Senhora Virgem dos Pobres,Emaús,Parnamirim,Vicariato Urbano 1,3º Zonal,"Qui, Sex, Sáb: 19:00 | Dom: 07:00 | Dom: 10:00 | Dom: 17:00","Domingo, 10h — missa das crianças.","Rua Dom Bosco, s/n, Emaús - 59148-450, Parnamirim/RN",(84) 98844-8247,pascomemaus2017@gmail.com,Matriz,"Quinta, Sexta e Sábado - 17h às 19h e após a Missa das 19h para os que trabalham."
Paróquia de São Mateus Moreira,Cidade Verde,Parnamirim,Vicariato Urbano 1,3º Zonal,"Ter, Qua, Qui, Sex, Sáb: 19:00 | Dom: 08:00 | Dom: 16:00 | Dom: 19:00",,"Av. dos Eucaliptos, 101, Cidade Verde - 59150-000, Parnamirim/RN",(84) 2030-3381 / 98622-4138,,Matriz,
Nazaré,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 17:00,,,,,Pertence a matriz de Paróquia de São Mateus Moreira,
Paróquia São Miguel Arcanjo,Rosa dos Ventos,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 08:00 | Dom: 19:00,"1ª sexta-feira do mês, 18h.","Av. Dr. Mario Negócio, Rosa dos Ventos - 59141-560, Parnamirim/RN",(84) 99706-5358,,Matriz,
Santo Antônio,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 10:30 | Sáb: 16:00 | Qua: 19:00,"Última quinta-feira do mês, 15h",,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
Nossa Senhora de guadalupe,,Parnamirim,Vicariato Urbano 1,3º Zonal,Ter: 19:30,Quinzenalmente,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
Nossa Senhora aparecida,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sex: 19:30,Quinzenalmente,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
Santa teresinha,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 18:00,,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
São Lostau E São João Paulo II,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sex: 19:30,Quinzenalmente,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
São Francisco,,Parnamirim,Vicariato Urbano 1,3º Zonal,Sáb: 19:30,,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
Sagrada Família,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 16:00,Quinzenalmente,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
Santa Rita de Cássia,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 17:30,,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
Nossa Senhora da Piedade,,Parnamirim,Vicariato Urbano 1,3º Zonal,Dom: 17:30,,,,,Pertence a matriz de Paróquia São Miguel Arcanjo,
Paróquia de Nossa Senhora Auxiliadora,Felipe Camarão,Natal,Vicariato Urbano 1,4º Zonal,"Ter, Qui, Sex: 19:00 | Dom: 09:00 | Dom: 19:00",,"Rua Arco-íris, 99, Felipe Camarão - 59074-310, Natal/RN",(84) 2131-5519,pnauxiliadora@hotmail.com,Matriz,Quinta e Sexta - 15h
Nossa Senhora da Conceição,,Natal,Vicariato Urbano 1,4º Zonal,Dom: 17:30 | Qua: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora Auxiliadora,
Santo Antônio,,Natal,Vicariato Urbano 1,4º Zonal,Sáb: 17:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora Auxiliadora,
Nossa Senhora de Guadalupe,,Natal,Vicariato Urbano 1,4º Zonal,Dom: 07:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora Auxiliadora,
Nossa Senhora de Lourdes,,Natal,Vicariato Urbano 1,4º Zonal,Sáb: 19:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora Auxiliadora,
São José,,Natal,Vicariato Urbano 1,4º Zonal,Dom: 16:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora Auxiliadora,
Santa Luzia,,Natal,Vicariato Urbano 1,4º Zonal,Seg: 18:00 | Qua: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora Auxiliadora,
Nossa Senhora da Piedade,,Natal,Vicariato Urbano 1,4º Zonal,Sáb: 16:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora Auxiliadora,
Paróquia de Nossa Senhora da Assunção,Guarapes,Natal,Vicariato Urbano 1,4º Zonal,"Ter, Qua, Sex: 19:00 | Dom: 08:00 | Dom: 19:00",,"Rua Lagoa Nova, 137, Guarapes - 59074-740, Natal/RN",,,Matriz,Terça e Sexta - 16h às 18h
Paróquia de Nossa Senhora do Perpétuo Socorro,Quintas,Natal,Vicariato Urbano 1,4º Zonal,"Ter, Qui, Sex: 19:00 | Sex, Sáb: 18:00 | Dom: 07:00 | Dom: 19:00",,"Rua Luiz Fernandes, s/n, Quintas - 59035-070, Natal/RN",(84) 3301-0215 / 99423-1504,,Matriz,Quarta e Quinta - 16h
Divino Espírito Santo,,Natal,Vicariato Urbano 1,4º Zonal,Dom: 09:00 | Qua: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora do Perpétuo Socorro,
Beata Ana Rosa Gatorno,,Natal,Vicariato Urbano 1,4º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora do Perpétuo Socorro,
Paróquia de São José,Cidade Nova,Natal,Vicariato Urbano 1,4º Zonal,"Dom: 08:00 | Dom: 17:00 | Qui, Sex: 17:00 | Sáb: 18:30",,"Av. Solange Nunes do Nascimento, 687, Cidade Nova - 59072-500, Natal/RN",(84) 2131-6228,cnsaojose@gmail.com,Matriz,fiquem a vontade em divulgar o aplicativo
Paróquia de São José de Anchieta,Lagoa Nova,Natal,Vicariato Urbano 1,4º Zonal,"Seg, Ter, Qua, Qui, Sex: 07:30 | Ter, Qua, Qui, Sex: 19:00 | Sáb: 08:30 | Sáb: 17:00 | Dom: 09:00 | Dom: 11:00 | Dom: 12:30 | Dom: 18:00 | Dom: 19:30","Quintas-feiras, 18h — adoração ao Santíssimo Sacramento.","Rua São José de Mipibu, 1515, Lagoa Nova II - 59063-070, Natal/RN",(84) 3615-2857 / 99414-2311,paroquiapsjarn@gmail.com,Matriz,fiquem a vontade em divulgar o aplicativo
Paróquia de São Sebastião,Alecrim,Natal,Vicariato Urbano 1,4º Zonal,"Dom: 08:00 | Dom: 16:30 | Dom: 19:30 | Ter, Qua, Qui, Sex, Sáb: 19:00",,"Rua Cel. Estevão, 1499, Alecrim - 59035-000, Natal/RN",(84) 3615-2874 / 2020-0754,psaosebastiao@outlook.com,Matriz,Qunta - 17h
Paróquia do Santuário dos Santos Mártires de Cunhaú e Uruaçu,Nossa Senhora de Nazaré,Natal,Vicariato Urbano 1,4º Zonal,"Dom: 07:00 | Dom: 10:00 | Dom: 17:00 | Ter, Qua, Qui, Sex: 19:00","1ª quinta-feira do mês, 19h — cura e libertação. Dia 3, 19h — votiva aos Santos Mártires.","Av. Miguel Castro, 1002, Nossa Senhora de Nazaré - 59062-000, Natal/RN",(84) 98823-9293,,Matriz,"Terça, Quarta e Sexta - 16h às 18h"
Paróquia Jesus Bom Pastor,Bom Pastor,Natal,Vicariato Urbano 1,4º Zonal,"Ter, Qua, Qui, Sex: 19:00 | Sáb: 19:30 | Dom: 07:30 | Dom: 16:00 | Dom: 19:30",,"Av. Bom Pastor, 1186, Bom Pastor - 59052-080, Natal/RN",,secretariabompastor@hotmail.com,Matriz,Terça a Sexta - 15h30 às 16h30
Paróquia Santuário de Nossa Senhora da Esperança e Santo Inácio de Loyola,Cidade da Esperança,Natal,Vicariato Urbano 1,4º Zonal,"Ter, Qua, Qui, Sex, Sáb: 19:00 | Dom: 08:30 | Dom: 11:00 | Dom: 17:00",,"Praça da Matriz, s/n, Cidade da Esperança - 59070-100, Natal/RN",(84) 3615-2891,santuarioesperanca@gmail.com,Matriz,
